Provincias;Tipo de hogar;Número de habitaciones de la vivienda;periodo;Total
Segovia;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2014;4,1
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2019;1,8
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2018;2,1
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2017;1,6
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2016;1,9
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2015;1,8
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2014;1,5
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2019;..
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2018;..
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2017;..
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2016;..
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2015;..
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2014;..
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2019;1,0
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2018;1,1
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2017;1,2
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2016;1,2
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2015;1,1
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2014;1,1
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2019;0,9
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2018;0,9
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2017;0,4
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2016;0,7
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2015;0,7
Segovia;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2014;0,4
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2019;1,9
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2018;1,5
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2017;2,1
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2016;1,4
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2015;1,9
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2014;2,7
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2019;..
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2018;..
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2017;..
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2016;..
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2015;..
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2014;..
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2019;1,5
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2018;0,8
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2017;0,9
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2016;0,9
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2015;1,2
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2014;1,7
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2019;0,4
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2018;0,8
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2017;1,1
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2016;0,5
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2015;0,7
Segovia;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2014;1,0
Segovia;Personas que no forman ningún núcleo familiar entre sí;Total;2019;1,6
Segovia;Personas que no forman ningún núcleo familiar entre sí;Total;2018;1,2
Segovia;Personas que no forman ningún núcleo familiar entre sí;Total;2017;2,1
Segovia;Personas que no forman ningún núcleo familiar entre sí;Total;2016;2,1
Segovia;Personas que no forman ningún núcleo familiar entre sí;Total;2015;1,7
Segovia;Personas que no forman ningún núcleo familiar entre sí;Total;2014;1,6
Segovia;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2019;..
Segovia;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2018;..
Segovia;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2017;..
Segovia;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2016;..
Segovia;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2015;..
Segovia;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2014;..
Segovia;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2019;1,6
Segovia;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2018;1,1
Segovia;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2017;1,4
Segovia;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2016;1,0
Segovia;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2015;0,9
Segovia;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2014;1,0
Segovia;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2019;..
Segovia;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2018;0,2
Segovia;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2017;0,7
Segovia;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2016;1,1
Segovia;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2015;0,8
Segovia;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2014;0,6
Segovia;Dos o más núcleos familiares;Total;2019;1,2
Segovia;Dos o más núcleos familiares;Total;2018;0,8
Segovia;Dos o más núcleos familiares;Total;2017;0,4
Segovia;Dos o más núcleos familiares;Total;2016;0,8
Segovia;Dos o más núcleos familiares;Total;2015;0,9
Segovia;Dos o más núcleos familiares;Total;2014;0,9
Segovia;Dos o más núcleos familiares;Menos de 3 habitaciones;2019;..
Segovia;Dos o más núcleos familiares;Menos de 3 habitaciones;2018;..
Segovia;Dos o más núcleos familiares;Menos de 3 habitaciones;2017;..
Segovia;Dos o más núcleos familiares;Menos de 3 habitaciones;2016;..
Segovia;Dos o más núcleos familiares;Menos de 3 habitaciones;2015;..
Segovia;Dos o más núcleos familiares;Menos de 3 habitaciones;2014;..
Segovia;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2019;1,0
Segovia;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2018;0,3
Segovia;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2017;0,1
Segovia;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2016;0,5
Segovia;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2015;0,6
Segovia;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2014;0,7
Segovia;Dos o más núcleos familiares;7 o más habitaciones;2019;0,2
Segovia;Dos o más núcleos familiares;7 o más habitaciones;2018;0,4
Segovia;Dos o más núcleos familiares;7 o más habitaciones;2017;0,3
Segovia;Dos o más núcleos familiares;7 o más habitaciones;2016;0,3
Segovia;Dos o más núcleos familiares;7 o más habitaciones;2015;0,3
Segovia;Dos o más núcleos familiares;7 o más habitaciones;2014;0,2
Sevilla;Total (tipo de hogar);Total;2019;733,4
Sevilla;Total (tipo de hogar);Total;2018;728,2
Sevilla;Total (tipo de hogar);Total;2017;725,3
Sevilla;Total (tipo de hogar);Total;2016;722,6
Sevilla;Total (tipo de hogar);Total;2015;717,8
Sevilla;Total (tipo de hogar);Total;2014;713,5
Sevilla;Total (tipo de hogar);Menos de 3 habitaciones;2019;8,4
Sevilla;Total (tipo de hogar);Menos de 3 habitaciones;2018;8,0
Sevilla;Total (tipo de hogar);Menos de 3 habitaciones;2017;3,0
Sevilla;Total (tipo de hogar);Menos de 3 habitaciones;2016;6,8
Sevilla;Total (tipo de hogar);Menos de 3 habitaciones;2015;11,0
Sevilla;Total (tipo de hogar);Menos de 3 habitaciones;2014;10,4
Sevilla;Total (tipo de hogar);Entre 3 y 6 habitaciones;2019;595,7
Sevilla;Total (tipo de hogar);Entre 3 y 6 habitaciones;2018;597,6
Sevilla;Total (tipo de hogar);Entre 3 y 6 habitaciones;2017;601,6
Sevilla;Total (tipo de hogar);Entre 3 y 6 habitaciones;2016;587,7
Sevilla;Total (tipo de hogar);Entre 3 y 6 habitaciones;2015;570,7
Sevilla;Total (tipo de hogar);Entre 3 y 6 habitaciones;2014;567,9
Sevilla;Total (tipo de hogar);7 o más habitaciones;2019;129,4
Sevilla;Total (tipo de hogar);7 o más habitaciones;2018;122,6
Sevilla;Total (tipo de hogar);7 o más habitaciones;2017;120,7
Sevilla;Total (tipo de hogar);7 o más habitaciones;2016;128,1
Sevilla;Total (tipo de hogar);7 o más habitaciones;2015;136,1
Sevilla;Total (tipo de hogar);7 o más habitaciones;2014;135,2
Sevilla;Hogar unipersonal;Total;2019;164,8
Sevilla;Hogar unipersonal;Total;2018;160,8
Sevilla;Hogar unipersonal;Total;2017;158,1
Sevilla;Hogar unipersonal;Total;2016;155,9
Sevilla;Hogar unipersonal;Total;2015;152,4
Sevilla;Hogar unipersonal;Total;2014;149,0
Sevilla;Hogar unipersonal;Menos de 3 habitaciones;2019;5,1
Sevilla;Hogar unipersonal;Menos de 3 habitaciones;2018;5,1
Sevilla;Hogar unipersonal;Menos de 3 habitaciones;2017;2,3
Sevilla;Hogar unipersonal;Menos de 3 habitaciones;2016;5,5
Sevilla;Hogar unipersonal;Menos de 3 habitaciones;2015;9,8
Sevilla;Hogar unipersonal;Menos de 3 habitaciones;2014;8,7
Sevilla;Hogar unipersonal;Entre 3 y 6 habitaciones;2019;138,0
Sevilla;Hogar unipersonal;Entre 3 y 6 habitaciones;2018;135,6
Sevilla;Hogar unipersonal;Entre 3 y 6 habitaciones;2017;140,1
Sevilla;Hogar unipersonal;Entre 3 y 6 habitaciones;2016;135,4
Sevilla;Hogar unipersonal;Entre 3 y 6 habitaciones;2015;126,7
Sevilla;Hogar unipersonal;Entre 3 y 6 habitaciones;2014;122,4
Sevilla;Hogar unipersonal;7 o más habitaciones;2019;21,7
Sevilla;Hogar unipersonal;7 o más habitaciones;2018;20,2
Sevilla;Hogar unipersonal;7 o más habitaciones;2017;15,7
Sevilla;Hogar unipersonal;7 o más habitaciones;2016;15,0
Sevilla;Hogar unipersonal;7 o más habitaciones;2015;15,8
Sevilla;Hogar unipersonal;7 o más habitaciones;2014;17,9
Sevilla;Hogar monoparental;Total;2019;78,2
Sevilla;Hogar monoparental;Total;2018;77,8
Sevilla;Hogar monoparental;Total;2017;91,6
Sevilla;Hogar monoparental;Total;2016;94,5
Sevilla;Hogar monoparental;Total;2015;76,8
Sevilla;Hogar monoparental;Total;2014;71,4
Sevilla;Hogar monoparental;Menos de 3 habitaciones;2019;0,2
Sevilla;Hogar monoparental;Menos de 3 habitaciones;2018;..
Sevilla;Hogar monoparental;Menos de 3 habitaciones;2017;..
Sevilla;Hogar monoparental;Menos de 3 habitaciones;2016;..
Sevilla;Hogar monoparental;Menos de 3 habitaciones;2015;0,3
Sevilla;Hogar monoparental;Menos de 3 habitaciones;2014;0,3
Sevilla;Hogar monoparental;Entre 3 y 6 habitaciones;2019;65,6
Sevilla;Hogar monoparental;Entre 3 y 6 habitaciones;2018;65,1
Sevilla;Hogar monoparental;Entre 3 y 6 habitaciones;2017;78,3
Sevilla;Hogar monoparental;Entre 3 y 6 habitaciones;2016;77,3
Sevilla;Hogar monoparental;Entre 3 y 6 habitaciones;2015;62,0
Sevilla;Hogar monoparental;Entre 3 y 6 habitaciones;2014;58,4
Sevilla;Hogar monoparental;7 o más habitaciones;2019;12,5
Sevilla;Hogar monoparental;7 o más habitaciones;2018;12,7
Sevilla;Hogar monoparental;7 o más habitaciones;2017;13,3
Sevilla;Hogar monoparental;7 o más habitaciones;2016;17,1
Sevilla;Hogar monoparental;7 o más habitaciones;2015;14,6
Sevilla;Hogar monoparental;7 o más habitaciones;2014;12,7
Sevilla;Pareja sin hijos que convivan en el hogar;Total;2019;142,2
Sevilla;Pareja sin hijos que convivan en el hogar;Total;2018;138,3
Sevilla;Pareja sin hijos que convivan en el hogar;Total;2017;129,0
Sevilla;Pareja sin hijos que convivan en el hogar;Total;2016;125,4
Sevilla;Pareja sin hijos que convivan en el hogar;Total;2015;129,0
Sevilla;Pareja sin hijos que convivan en el hogar;Total;2014;134,2
Sevilla;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2019;2,0
Sevilla;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2018;2,1
Sevilla;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2017;0,7
Sevilla;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2016;1,3
Sevilla;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2015;0,9
Sevilla;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2014;1,2
Sevilla;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2019;117,8
Sevilla;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2018;116,8
Sevilla;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2017;106,9
Sevilla;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2016;103,2
Sevilla;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2015;106,3
Sevilla;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2014;109,7
Sevilla;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2019;22,4
Sevilla;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2018;19,4
Sevilla;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2017;21,5
Sevilla;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2016;20,8
Sevilla;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2015;21,8
Sevilla;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2014;23,3
Sevilla;Pareja con hijos que convivan en el hogar: Total;Total;2019;292,2
Sevilla;Pareja con hijos que convivan en el hogar: Total;Total;2018;292,7
Sevilla;Pareja con hijos que convivan en el hogar: Total;Total;2017;285,1
Sevilla;Pareja con hijos que convivan en el hogar: Total;Total;2016;282,8
Sevilla;Pareja con hijos que convivan en el hogar: Total;Total;2015;290,2
Sevilla;Pareja con hijos que convivan en el hogar: Total;Total;2014;288,0
Sevilla;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2019;..
Sevilla;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2018;..
Sevilla;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2017;..
Sevilla;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2016;..
Sevilla;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2015;..
Sevilla;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2014;..
Sevilla;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2019;230,6
Sevilla;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2018;233,8
Sevilla;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2017;227,2
Sevilla;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2016;223,2
Sevilla;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2015;224,0
Sevilla;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2014;225,3
Sevilla;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2019;61,6
Sevilla;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2018;58,9
Sevilla;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2017;57,9
Sevilla;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2016;59,5
Sevilla;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2015;66,2
Sevilla;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2014;62,7
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2019;120,6
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2018;120,9
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2017;116,1
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2016;116,3
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2015;119,4
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2014;116,3
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2019;..
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2018;..
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2017;..
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2016;..
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2015;..
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2014;..
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2019;97,9
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2018;98,4
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2017;95,3
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2016;96,7
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2015;97,4
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2014;94,2
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2019;22,8
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2018;22,6
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2017;20,9
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2016;19,6
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2015;22,0
Sevilla;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2014;22,1
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2019;139,5
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2018;137,6
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2017;138,3
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2016;135,6
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2015;137,0
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2014;139,3
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2019;..
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2018;..
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2017;..
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2016;..
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2015;..
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2014;..
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2019;108,4
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2018;108,8
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2017;107,4
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2016;103,9
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2015;104,6
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2014;108,6
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2019;31,1
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2018;28,8
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2017;30,9
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2016;31,7
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2015;32,4
Sevilla;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2014;30,7
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2019;32,1
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2018;34,2
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2017;30,7
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2016;30,9
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2015;33,8
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2014;32,4
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2019;..
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2018;..
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2017;..
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2016;..
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2015;..
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2014;..
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2019;24,3
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2018;26,6
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2017;24,5
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2016;22,6
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2015;21,9
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2014;22,5
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2019;7,8
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2018;7,5
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2017;6,1
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2016;8,2
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2015;11,8
Sevilla;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2014;9,9
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2019;26,3
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2018;26,9
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2017;27,0
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2016;26,5
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2015;28,6
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2014;31,4
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2019;..
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2018;..
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2017;..
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2016;..
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2015;..
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2014;0,3
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2019;19,8
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2018;20,4
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2017;21,0
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2016;18,9
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2015;19,5
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2014;20,6
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2019;6,5
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2018;6,5
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2017;6,1
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2016;7,6
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2015;9,1
Sevilla;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2014;10,4
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Total;2019;16,9
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Total;2018;19,7
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Total;2017;18,7
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Total;2016;20,8
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Total;2015;25,6
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Total;2014;23,3
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2019;0,8
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2018;0,9
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2017;..
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2016;..
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2015;..
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2014;..
Sevilla;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2019;13,2
