Provincias;Tipo de hogar;Número de habitaciones de la vivienda;periodo;Total
Total;Dos o más núcleos familiares;Total;2014;372,9
Total;Dos o más núcleos familiares;Menos de 3 habitaciones;2019;0,9
Total;Dos o más núcleos familiares;Menos de 3 habitaciones;2018;0,6
Total;Dos o más núcleos familiares;Menos de 3 habitaciones;2017;..
Total;Dos o más núcleos familiares;Menos de 3 habitaciones;2016;0,3
Total;Dos o más núcleos familiares;Menos de 3 habitaciones;2015;0,6
Total;Dos o más núcleos familiares;Menos de 3 habitaciones;2014;0,4
Total;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2019;285,7
Total;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2018;256,8
Total;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2017;254,8
Total;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2016;263,5
Total;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2015;264,5
Total;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2014;251,7
Total;Dos o más núcleos familiares;7 o más habitaciones;2019;118,6
Total;Dos o más núcleos familiares;7 o más habitaciones;2018;103,7
Total;Dos o más núcleos familiares;7 o más habitaciones;2017;99,6
Total;Dos o más núcleos familiares;7 o más habitaciones;2016;104,6
Total;Dos o más núcleos familiares;7 o más habitaciones;2015;110,6
Total;Dos o más núcleos familiares;7 o más habitaciones;2014;120,9
Albacete;Total (tipo de hogar);Total;2019;151,0
Albacete;Total (tipo de hogar);Total;2018;150,1
Albacete;Total (tipo de hogar);Total;2017;150,1
Albacete;Total (tipo de hogar);Total;2016;150,3
Albacete;Total (tipo de hogar);Total;2015;150,2
Albacete;Total (tipo de hogar);Total;2014;149,6
Albacete;Total (tipo de hogar);Menos de 3 habitaciones;2019;0,4
Albacete;Total (tipo de hogar);Menos de 3 habitaciones;2018;0,7
Albacete;Total (tipo de hogar);Menos de 3 habitaciones;2017;0,8
Albacete;Total (tipo de hogar);Menos de 3 habitaciones;2016;0,7
Albacete;Total (tipo de hogar);Menos de 3 habitaciones;2015;1,0
Albacete;Total (tipo de hogar);Menos de 3 habitaciones;2014;0,9
Albacete;Total (tipo de hogar);Entre 3 y 6 habitaciones;2019;118,6
Albacete;Total (tipo de hogar);Entre 3 y 6 habitaciones;2018;117,9
Albacete;Total (tipo de hogar);Entre 3 y 6 habitaciones;2017;119,6
Albacete;Total (tipo de hogar);Entre 3 y 6 habitaciones;2016;120,6
Albacete;Total (tipo de hogar);Entre 3 y 6 habitaciones;2015;115,4
Albacete;Total (tipo de hogar);Entre 3 y 6 habitaciones;2014;112,1
Albacete;Total (tipo de hogar);7 o más habitaciones;2019;31,9
Albacete;Total (tipo de hogar);7 o más habitaciones;2018;31,5
Albacete;Total (tipo de hogar);7 o más habitaciones;2017;29,7
Albacete;Total (tipo de hogar);7 o más habitaciones;2016;29,0
Albacete;Total (tipo de hogar);7 o más habitaciones;2015;33,9
Albacete;Total (tipo de hogar);7 o más habitaciones;2014;36,6
Albacete;Hogar unipersonal;Total;2019;37,3
Albacete;Hogar unipersonal;Total;2018;36,4
Albacete;Hogar unipersonal;Total;2017;36,0
Albacete;Hogar unipersonal;Total;2016;35,5
Albacete;Hogar unipersonal;Total;2015;35,0
Albacete;Hogar unipersonal;Total;2014;34,3
Albacete;Hogar unipersonal;Menos de 3 habitaciones;2019;0,4
Albacete;Hogar unipersonal;Menos de 3 habitaciones;2018;0,6
Albacete;Hogar unipersonal;Menos de 3 habitaciones;2017;0,6
Albacete;Hogar unipersonal;Menos de 3 habitaciones;2016;0,6
Albacete;Hogar unipersonal;Menos de 3 habitaciones;2015;0,9
